epoch,val_bc,val_q
1,3.174468183517456,0.016844640681520105
2,3.152905669212341,0.017339405780658127
3,3.1432913160324096,0.01689847598783672
4,3.136712284088135,0.013930164044722915
5,3.1242379093170167,0.013226259425282478
6,3.1267454051971435,0.014754374325275422
7,3.1219108486175537,0.012340621454641224
8,3.110171608924866,0.012723688445985317
9,3.1094108295440672,0.013557372149080038
10,3.103620467185974,0.01221371633000672
11,3.0990457487106324,0.012082744259387254
12,3.0939356660842896,0.011414704443886876
13,3.0939528369903564,0.011837557782419026
14,3.0917622327804564,0.0110977235250175
15,3.08922532081604,0.012264207005500793
16,3.0864885330200194,0.010160123202949763
17,3.0812210178375246,0.011962461909279227
18,3.081107053756714,0.01419022304005921
19,3.0753729820251463,0.013303385237231851
20,3.071829943656921,0.012304932726547122
21,3.072017641067505,0.012493917848914862
22,3.071945562362671,0.010689457943663001
23,3.0656009483337403,0.012206364423036575
24,3.067697539329529,0.012110756980255245
25,3.0640639781951906,0.010655117784626782
26,3.0587995862960815,0.011227056607604027
27,3.05743754863739,0.011432182281278075
28,3.0572124910354614,0.012427612636238337
29,3.0559063959121704,0.012906879875808954
30,3.057069959640503,0.011335052717477083
